Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Gonorrhea, Cum 2018†","Gonorrhea, Cum 2018†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
NEW HAMPSHIRE,2019,12,,-,23,,102,,138,,,-,3,,7,,12,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191206
RHODE ISLAND,2019,12,,-,139,,178,,155,,,-,4,,6,,5,,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191207
VERMONT,2019,12,,-,11,,1,,60,,,-,3,,3,,4,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191208
MIDDLE ATLANTIC,2019,12,741,,1482,,13250,,12447,,11,,27,,173,,210,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20191209
NEW JERSEY,2019,12,58,,223,,1891,,1834,,,-,10,,14,,50,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191210
NEW YORK,2019,12,209,,422,,2141,,2187,,4,,16,,57,,46,,,-,1,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191211
NEW YORK CITY,2019,12,304,,689,,6136,,5120,,6,,7,,39,,41,,,-,0,,,-,,-,,NEW YORK CITY,20191212
PENNSYLVANIA,2019,12,170,,361,,3082,,3306,,1,,12,,63,,73,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20191213
EAST NORTH CENTRAL,2019,12,589,,1997,,14244,,18122,,7,,35,,181,,267,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20191214
ILLINOIS,2019,12,,-,590,,1680,,5329,,,-,11,,36,,58,,,-,2,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20191215
INDIANA,2019,12,64,,322,,2271,,2640,,,-,8,,30,,53,,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191216
MICHIGAN,2019,12,132,,451,,3131,,3277,,,-,7,,21,,53,,,-,1,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20191217
OHIO,2019,12,297,,592,,5412,,5325,,7,,14,,86,,67,,,-,1,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191218
WISCONSIN,2019,12,96,,200,,1750,,1551,,,-,6,,8,,36,,,-,1,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20191219
WEST NORTH CENTRAL,2019,12,299,,906,,7566,,8370,,4,,11,,57,,76,,,-,1,,,-,,-,,WEST NORTH CENTRAL,20191220
IOWA,2019,12,28,,120,,1107,,999,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20191221
KANSAS,2019,12,29,,131,,1026,,1087,,,-,1,,,-,8,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20191222
MINNESOTA,2019,12,2,,189,,964,,1725,,,-,3,,,-,3,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191223
MISSOURI,2019,12,224,,389,,3455,,3292,,4,,10,,39,,49,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20191224
NEBRASKA,2019,12,12,,106,,420,,642,,,-,3,,7,,5,,,-,1,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20191225
NORTH DAKOTA,2019,12,2,,38,,260,,272,,,-,2,,6,,5,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191226
SOUTH DAKOTA,2019,12,2,,50,,334,,353,,,-,2,,5,,6,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191227
SOUTH ATLANTIC,2019,12,745,,2596,,17843,,28648,,12,,43,,281,,360,,,-,1,,1,,1,,,SOUTH ATLANTIC,20191228
DELAWARE,2019,12,,-,79,,374,,336,,,-,3,,5,,6,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191229
DISTRICT OF COLUMBIA,2019,12,,-,107,,,-,934,,,-,3,,3,,3,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191230
FLORIDA,2019,12,331,,773,,6894,,6825,,6,,14,,88,,107,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20191231
GEORGIA,2019,12,172,,467,,2898,,5150,,2,,10,,47,,70,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191232
MARYLAND,2019,12,,-,244,,924,,2367,,2,,8,,31,,40,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20191233
NORTH CAROLINA,2019,12,9,,550,,3805,,5139,,,-,9,,29,,52,,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191234
SOUTH CAROLINA,2019,12,,-,498,,,-,4947,,,-,6,,29,,38,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191235
VIRGINIA,2019,12,233,,356,,2948,,2711,,2,,13,,42,,28,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191236
WEST VIRGINIA,2019,12,,-,43,,,-,239,,,-,4,,7,,16,,,-,1,,,-,1,,"WEST VIRGINIA
(38.642579, -80.613729)",,20191237
EAST SOUTH CENTRAL,2019,12,89,,1011,,5399,,8690,,3,,17,,128,,137,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20191238
ALABAMA,2019,12,,-,389,,1339,,2889,,1,,6,,30,,32,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191239
KENTUCKY,2019,12,,-,215,,,-,549,,1,,7,,22,,31,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191240
MISSISSIPPI,2019,12,,-,275,,1466,,2124,,1,,4,,20,,28,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20191241
TENNESSEE,2019,12,89,,402,,2594,,3128,,,-,9,,56,,46,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191242
WEST SOUTH CENTRAL,2019,12,85,,1606,,3692,,16540,,17,,57,,167,,196,,,-,1,,1,,,-,,WEST SOUTH CENTRAL,20191243
ARKANSAS,2019,12,,-,167,,398,,1602,,5,,8,,23,,17,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191244
LOUISIANA,2019,12,50,,292,,2057,,2537,,1,,8,,27,,31,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191245
OKLAHOMA,2019,12,35,,167,,1237,,1619,,4,,8,,28,,23,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191246
TEXAS,2019,12,,-,1070,,,-,10782,,7,,44,,89,,125,,,-,1,,1,,,-,"TEXAS
(31.447238, -99.317341)",,20191247
MOUNTAIN,2019,12,224,,890,,6449,,8163,,8,,19,,144,,133,,,-,1,,,-,1,,,MOUNTAIN,20191248
ARIZONA,2019,12,,-,305,,2346,,2723,,3,,8,,55,,46,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191249
COLORADO,2019,12,138,,270,,1950,,1883,,1,,5,,30,,33,,,-,1,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20191250
IDAHO,2019,12,,-,44,,162,,204,,1,,3,,12,,8,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191251
MONTANA,2019,12,22,,36,,294,,239,,,-,2,,8,,7,,,-,1,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191252
NEVADA,2019,12,,-,157,,34,,1324,,,-,5,,12,,7,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20191253
NEW MEXICO,2019,12,17,,136,,1004,,1100,,3,,5,,16,,14,,,-,0,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20191254
UTAH,2019,12,47,,81,,585,,615,,,-,3,,11,,17,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20191255
WYOMING,2019,12,,-,13,,74,,75,,,-,1,,,-,1,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191256
PACIFIC,2019,12,414,,2121,,19834,,22348,,,-,8,,46,,66,,,-,1,,,-,2,,,PACIFIC,20191257
ALASKA,2019,12,,-,60,,,-,517,,,-,3,,7,,7,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191258
CALIFORNIA,2019,12,179,,1781,,16678,,17927,,,-,3,,7,,15,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20191259
HAWAII,2019,12,,-,41,,,-,637,,,-,3,,11,,13,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191260
OREGON,2019,12,95,,156,,1327,,1360,,,-,7,,21,,27,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20191261
WASHINGTON,2019,12,140,,223,,1829,,1907,,,-,2,,,-,4,,,-,1,,,-,2,,"WASHINGTON
(47.411715, -120.592492)",,20191262
US TERRITORIES,2019,12,,-,19,,58,,127,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191263
AMERICAN SAMOA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20191264
NORTHERN MARIANA ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191265
GUAM,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191266
PUERTO RICO,2019,12,,-,19,,58,,118,,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191267
U.S. VIRGIN ISLANDS,2019,12,,-,4,,,-,9,,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191268
NON-US RESIDENTS,2019,12,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191269
TOTAL,2019,12,3186,,12189,,90306,,125815,,62,,189,,1228,,1516,,,-,3,,2,,5,,,TOTAL,20191270
US RESIDENTS,2019,13,3153,,12183,,100551,,135995,,55,,195,,1345,,1610,,,-,3,,2,,5,,,US RESIDENTS,20191301
NEW ENGLAND,2019,13,78,,290,,2245,,2552,,1,,12,,62,,76,,,-,1,,,-,1,,,NEW ENGLAND,20191302
CONNECTICUT,2019,13,,U,,NC,,U,,U,,-,5,,6,,11,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191303
MAINE,2019,13,,-,25,,108,,166,,,-,3,,12,,7,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191304
MASSACHUSETTS,2019,13,75,,190,,1833,,1986,,1,,7,,26,,36,,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191305
NEW HAMPSHIRE,2019,13,2,,23,,113,,140,,,-,3,,7,,12,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191306
RHODE ISLAND,2019,13,,-,139,,189,,191,,,-,4,,7,,6,,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191307
VERMONT,2019,13,1,,14,,2,,69,,,-,3,,4,,4,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191308
MIDDLE ATLANTIC,2019,13,787,,1489,,14663,,13485,,9,,29,,187,,226,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20191309
NEW JERSEY,2019,13,126,,236,,2276,,1994,,,-,10,,19,,55,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191310
NEW YORK,2019,13,240,,422,,2372,,2371,,4,,16,,61,,47,,,-,1,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191311
NEW YORK CITY,2019,13,254,,690,,6500,,5565,,4,,7,,43,,46,,,-,0,,,-,,-,,NEW YORK CITY,20191312
PENNSYLVANIA,2019,13,167,,366,,3515,,3555,,1,,12,,64,,78,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20191313
EAST NORTH CENTRAL,2019,13,429,,1997,,15692,,19524,,11,,35,,206,,283,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20191314
ILLINOIS,2019,13,18,,590,,2256,,5743,,,-,11,,42,,60,,,-,2,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20191315
INDIANA,2019,13,,-,320,,2271,,2812,,1,,8,,34,,55,,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191316
MICHIGAN,2019,13,132,,451,,3438,,3563,,1,,7,,27,,58,,,-,1,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20191317
OHIO,2019,13,190,,593,,5839,,5733,,9,,14,,95,,70,,,-,2,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191318
WISCONSIN,2019,13,89,,200,,1888,,1673,,,-,6,,8,,40,,,-,1,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20191319
WEST NORTH CENTRAL,2019,13,269,,906,,8069,,9076,,,-,11,,64,,80,,,-,1,,,-,,-,,WEST NORTH CENTRAL,20191320
IOWA,2019,13,26,,120,,1200,,1082,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20191321
KANSAS,2019,13,35,,131,,1141,,1189,,,-,1,,,-,8,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20191322
MINNESOTA,2019,13,,-,189,,976,,1875,,,-,3,,1,,3,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191323
MISSOURI,2019,13,202,,389,,3700,,3585,,,-,10,,43,,51,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20191324
NEBRASKA,2019,13,,-,106,,420,,678,,,-,3,,7,,7,,,-,1,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20191325
NORTH DAKOTA,2019,13,6,,41,,297,,290,,,-,2,,7,,5,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191326
SOUTH DAKOTA,2019,13,,-,50,,335,,377,,,-,2,,6,,6,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191327
SOUTH ATLANTIC,2019,13,668,,2597,,19596,,31085,,11,,43,,293,,380,,,-,1,,1,,1,,,SOUTH ATLANTIC,20191328
DELAWARE,2019,13,,-,79,,374,,372,,,-,3,,5,,6,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191329
DISTRICT OF COLUMBIA,2019,13,,-,107,,,-,1009,,1,,3,,4,,3,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191330
FLORIDA,2019,13,341,,773,,7480,,7359,,5,,14,,93,,111,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20191331
GEORGIA,2019,13,,-,460,,2898,,5599,,,-,10,,47,,74,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191332
MARYLAND,2019,13,7,,248,,1098,,2566,,4,,8,,35,,42,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20191333
NORTH CAROLINA,2019,13,17,,550,,4496,,5534,,,-,9,,29,,55,,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191334
SOUTH CAROLINA,2019,13,,-,549,,,-,5496,,,-,6,,29,,39,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191335
VIRGINIA,2019,13,303,,356,,3250,,2892,,1,,13,,43,,34,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191336
WEST VIRGINIA,2019,13,,-,43,,,-,258,,,-,4,,8,,16,,,-,1,,,-,1,,"WEST VIRGINIA
(38.642579, -80.613729)",,20191337
EAST SOUTH CENTRAL,2019,13,133,,1011,,7588,,9407,,,-,17,,139,,144,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20191338
ALABAMA,2019,13,,-,389,,3074,,3170,,,-,6,,31,,33,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191339
KENTUCKY,2019,13,,-,215,,,-,593,,,-,7,,23,,33,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191340
MISSISSIPPI,2019,13,46,,277,,1833,,2295,,,-,4,,22,,28,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20191341
TENNESSEE,2019,13,87,,402,,2681,,3349,,,-,9,,63,,50,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191342
WEST SOUTH CENTRAL,2019,13,88,,1606,,4140,,17825,,9,,57,,181,,209,,,-,1,,1,,,-,,WEST SOUTH CENTRAL,20191343
ARKANSAS,2019,13,,-,169,,446,,1733,,,-,8,,23,,19,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191344
LOUISIANA,2019,13,57,,292,,2353,,2716,,,-,8,,27,,32,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191345
OKLAHOMA,2019,13,31,,167,,1341,,1741,,2,,8,,30,,27,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191346
TEXAS,2019,13,,-,1070,,,-,11635,,7,,44,,101,,131,,,-,1,,1,,,-,"TEXAS
(31.447238, -99.317341)",,20191347
MOUNTAIN,2019,13,261,,890,,7058,,8867,,12,,19,,160,,139,,,-,1,,,-,1,,,MOUNTAIN,20191348
ARIZONA,2019,13,47,,305,,2663,,2987,,8,,8,,66,,46,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191349
COLORADO,2019,13,137,,270,,2089,,2020,,3,,5,,33,,36,,,-,1,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20191350
IDAHO,2019,13,,-,44,,162,,227,,1,,3,,13,,8,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191351
MONTANA,2019,13,15,,36,,316,,270,,,-,2,,8,,7,,,-,1,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191352
NEVADA,2019,13,,-,157,,35,,1423,,,-,5,,12,,8,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20191353
NEW MEXICO,2019,13,13,,135,,1075,,1188,,,-,5,,17,,15,,,-,0,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20191354
UTAH,2019,13,49,,81,,644,,675,,,-,3,,11,,18,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20191355
WYOMING,2019,13,,-,13,,74,,77,,,-,1,,,-,1,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191356
PACIFIC,2019,13,440,,2121,,21500,,24174,,2,,8,,53,,73,,,-,1,,,-,2,,,PACIFIC,20191357
ALASKA,2019,13,,-,60,,,-,550,,,-,3,,7,,9,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191358
CALIFORNIA,2019,13,176,,1781,,18081,,19390,,,-,3,,11,,15,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20191359
HAWAII,2019,13,,-,41,,,-,678,,,-,3,,11,,14,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191360
OREGON,2019,13,94,,156,,1420,,1479,,2,,7,,24,,31,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20191361
WASHINGTON,2019,13,170,,223,,1999,,2077,,,-,2,,,-,4,,,-,1,,,-,2,,"WASHINGTON
(47.411715, -120.592492)",,20191362
US TERRITORIES,2019,13,1,,19,,69,,131,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191363
AMERICAN SAMOA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20191364
NORTHERN MARIANA ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191365
GUAM,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191366
PUERTO RICO,2019,13,1,,19,,69,,122,,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191367
U.S. VIRGIN ISLANDS,2019,13,,-,4,,,-,9,,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191368
NON-US RESIDENTS,2019,13,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191369
TOTAL,2019,13,3154,,12197,,100620,,136126,,55,,195,,1345,,1610,,,-,3,,2,,5,,,TOTAL,20191370
US RESIDENTS,2019,14,3420,,12217,,111579,,146422,,54,,197,,1465,,1742,,,-,3,,3,,7,,,US RESIDENTS,20191401
NEW ENGLAND,2019,14,28,,290,,2317,,2746,,,-,12,,69,,79,,,-,1,,,-,1,,,NEW ENGLAND,20191402
CONNECTICUT,2019,14,,U,,NC,,U,,U,,-,5,,10,,12,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191403
MAINE,2019,14,1,,25,,134,,175,,,-,4,,13,,7,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191404
MASSACHUSETTS,2019,14,,-,190,,1833,,2116,,,-,7,,26,,37,,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191405
NEW HAMPSHIRE,2019,14,7,,23,,129,,156,,,-,3,,8,,12,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191406
RHODE ISLAND,2019,14,20,,139,,219,,223,,,-,4,,8,,7,,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191407
VERMONT,2019,14,,-,14,,2,,76,,,-,3,,4,,4,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191408
MIDDLE ATLANTIC,2019,14,798,,1489,,15685,,14589,,6,,30,,195,,241,,,-,1,,,-,1,,,MIDDLE ATLANTIC,20191409
NEW JERSEY,2019,14,97,,236,,2399,,2144,,,-,10,,20,,56,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191410
NEW YORK,2019,14,225,,424,,2594,,2583,,4,,17,,65,,53,,,-,1,,,-,1,,"NEW YORK
(42.921241, -75.59655)",,20191411
NEW YORK CITY,2019,14,287,,690,,6863,,6015,,,-,7,,43,,51,,,-,0,,,-,,-,,NEW YORK CITY,20191412
PENNSYLVANIA,2019,14,189,,366,,3829,,3847,,2,,12,,67,,81,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20191413
EAST NORTH CENTRAL,2019,14,446,,1997,,16944,,21102,,11,,35,,231,,310,,,-,2,,1,,,-,,EAST NORTH CENTRAL,20191414
ILLINOIS,2019,14,33,,590,,2592,,6178,,,-,11,,46,,65,,,-,2,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20191415
INDIANA,2019,14,,-,320,,2271,,3072,,,-,8,,37,,61,,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191416
MICHIGAN,2019,14,66,,451,,3700,,3866,,1,,7,,33,,64,,,-,1,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20191417
OHIO,2019,14,266,,593,,6368,,6198,,10,,14,,106,,78,,,-,1,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191418
WISCONSIN,2019,14,81,,200,,2013,,1788,,,-,6,,9,,42,,,-,1,,1,,,-,"WISCONSIN
(44.639954, -89.732969)",,20191419
WEST NORTH CENTRAL,2019,14,238,,906,,8830,,9694,,1,,11,,67,,85,,,-,1,,,-,,-,,WEST NORTH CENTRAL,20191420
IOWA,2019,14,17,,120,,1292,,1172,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20191421
KANSAS,2019,14,46,,131,,1251,,1272,,,-,1,,,-,9,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20191422
MINNESOTA,2019,14,8,,189,,1241,,1998,,,-,3,,1,,3,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191423
MISSOURI,2019,14,165,,389,,3947,,3795,,1,,10,,45,,54,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20191424
NEBRASKA,2019,14,,-,106,,420,,740,,,-,3,,7,,8,,,-,1,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20191425
NORTH DAKOTA,2019,14,2,,41,,322,,309,,,-,2,,8,,5,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191426
SOUTH DAKOTA,2019,14,,-,50,,357,,408,,,-,2,,6,,6,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191427
SOUTH ATLANTIC,2019,14,758,,2604,,21646,,33533,,12,,44,,327,,412,,,-,1,,1,,1,,,SOUTH ATLANTIC,20191428
DELAWARE,2019,14,,-,79,,374,,372,,1,,3,,7,,7,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191429
DISTRICT OF COLUMBIA,2019,14,,-,107,,,-,1063,,,-,3,,4,,4,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191430
FLORIDA,2019,14,371,,773,,8142,,7971,,8,,14,,101,,118,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20191431
GEORGIA,2019,14,125,,463,,3425,,6014,,,-,10,,52,,75,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191432
MARYLAND,2019,14,17,,249,,1274,,2755,,1,,8,,36,,48,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20191433
NORTH CAROLINA,2019,14,28,,550,,4964,,5958,,,-,9,,42,,60,,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191434
SOUTH CAROLINA,2019,14,,-,479,,,-,5975,,,-,6,,29,,45,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191435
VIRGINIA,2019,14,217,,356,,3467,,3138,,,-,13,,43,,39,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191436
